,FIXME:hgv:state_network,NOTE,abandoned:railway,access,addr:city,addr:country,addr:full,addr:housename,addr:housenumber,addr:note,addr:postcode,addr:state,addr:street,admin_level,alt_name,amenity,architect,architect:wikidata,architect:wikipedia,area,area:highway,artist:wikidata,artist:wikipedia,artist_name,artwork_type,attraction,atv,automatic_door,backrest,barrier,bench,bicycle,bin,boundary,branch,brand,brand:wikidata,brand:wikipedia,bridge,building,building:architecture,building:cladding,building:colour,building:levels,building:material,building:part,building:shape,building:year_built,bus,button_operated,camera:mount,camera:type,change,change:lanes,check_date,colour,computer:repair,covered,crossing,crossing:island,cuisine,cycleway,cycleway:left,cycleway:right,departures_board,description,destination,destination:ref,destination:ref:to,direction,disused:amenity,disused:name,dog,door,drinking_water,ele,elevation,entrance,expressway,fee,fence_type,ferry,fixme,floating,foot,foot:left,footway,fountain,garden:type,gauge,gnis:county_id,gnis:county_name,gnis:created,gnis:feature_id,gnis:import_uuid,gnis:reviewed,gnis:state_id,height,heritage,heritage:operator,hgv,hgv:state_network,highway,historic,hoops,horse,image,indoor,information,inscription,intermittent,internet_access,internet_access:fee,junction,kerb,kerb:height,lamp_mount,landuse,lane_markings,lanes,lanes:backward,lanes:forward,lastcheck,layer,lcn,leisure,level,lit,loc_name,location,locked,man_made,map_size,map_type,mapillary,material,max_level,maxspeed,maxspeed:advisory,memorial,military,min_height,min_level,mobile_phone:repair,mooring,motor_vehicle,motorcycle,name,name:ar,name:bg,name:de,name:el,name:en,name:etymology:wikidata,name:fa,name:fr,name:he,name:hi,name:hr,name:ja,name:kn,name:ko,name:lt,name:ml,name:pl,name:railroad,name:railway,name:ru,name:signed,name:uk,name:zh,name_1,name_2,natural,network,noname,note,note:old_railway_operator,nycdoitt:bin,nysdot_ref,nysgissam:nysaddresspointid,nysgissam:review,office,official_name,old_name,old_railway_operator,old_ref,oneway,opening_hours,opening_hours:url,operator,operator:official,operator:short,operator:wikidata,operator:wikipedia,outdoor_seating,overtaking,parking,passenger_information_display,payment:american_express,payment:cash,payment:credit_cards,payment:debit_cards,payment:diners_club,payment:discover_card,payment:jcb,payment:mastercard,payment:visa,payment:wolfie_wallet,phone,piste:grooming,piste:type,place,public_transport,railway,rcn,rcn_ref,ref,ref:nrhp,roof:colour,roof:direction,roof:height,roof:levels,roof:material,roof:orientation,roof:shape,route_ref,sac_scale,seamark:type,seasonal,segregated,shelter_type,shop,short_name,sidewalk,ski,smoking,smoothness,snowmobile,source,source:data,source:hgv:state_network,source:highway,source:imagery,source:shape,sport,start_date,stroller,subject,surface,surface:colour,surveillance,surveillance:type,survey:date,swimming_pool,tactile_paving,theatre1:name,theatre2:name,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_base_1,tiger:name_base_2,tiger:name_direction_prefix,tiger:name_direction_prefix_1,tiger:name_type,tiger:name_type_1,tiger:reviewed,tiger:source,tiger:upload_uuid,tiger:zip_left,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_right,tourism,townhall:type,traffic_calming,traffic_signals,traffic_signals:direction,traffic_signals:sound,traffic_signals:vibration,tunnel,turn,turn:lanes,turn:lanes:backward,turn:lanes:forward,unisex,url,wall,water,website,website:alternate,wheelchair,width,wikidata,wikipedia,geometry
1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,POINT (-73.9834257 40.7149512)
1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,POINT (-73.9834125 40.7149759)
4454,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9835447 40.7150044, -73.9835396 40.7150089, -73.9835339 40.7150108, -73.9835255 40.7150109, -73.9834125 40.7149759, -73.9833978 40.7149714, -73.9833916 40.7149656, -73.9833911 40.7149586, -73.9833964 40.7149495, -73.983405 40.7149466, -73.9834122 40.714947, -73.9834257 40.7149512, -73.9835377 40.714986, -73.983544 40.7149914, -73.9835466 40.7149975, -73.9835447 40.7150044), (-73.9834572 40.7149648, -73.9834473 40.7149835, -73.983527 40.7150077, -73.9835369 40.7149891, -73.9834572 40.7149648))"
4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.983527 40.7150077, -73.9835369 40.7149891, -73.9834572 40.7149648, -73.9834473 40.7149835, -73.983527 40.7150077)"
4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.983527 40.7150077, -73.9834473 40.7149835, -73.9834572 40.7149648, -73.9835369 40.7149891, -73.983527 40.7150077))"
1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,POINT (-73.984417 40.7152461)
1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,POINT (-73.9844008 40.7152708)
4455,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9845348 40.7152993, -73.9845297 40.7153038, -73.984524 40.7153057, -73.9845155 40.7153058, -73.9844008 40.7152708, -73.9843879 40.7152663, -73.9843816 40.7152605, -73.9843812 40.7152535, -73.9843865 40.7152444, -73.9843951 40.7152415, -73.9844023 40.7152419, -73.984417 40.7152461, -73.9845278 40.7152809, -73.9845341 40.7152863, -73.9845367 40.7152924, -73.9845348 40.7152993), (-73.9844473 40.7152597, -73.9844374 40.7152784, -73.9845171 40.7153026, -73.984527 40.715284, -73.9844473 40.7152597))"
4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9845171 40.7153026, -73.984527 40.715284, -73.9844473 40.7152597, -73.9844374 40.7152784, -73.9845171 40.7153026)"
4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9845171 40.7153026, -73.9844374 40.7152784, -73.9844473 40.7152597, -73.984527 40.715284, -73.9845171 40.7153026))"
