,access,bicycle,bridge,bridge:movable,bridge:name,bridge:wikidata,bridge:wikipedia,button_operated,check_date:surface,condition,construction,covered,crossing,crossing:island,crossing:markings,cutting,cycleway,description,foot,foot:conditional,footway,handrail,handrail:left,handrail:right,highway,horse,incline,inline_skates,kerb,lanes,layer,lcn,level,lit,motor_vehicle,name,name:pronunciation,name:ru,note,oneway,oneway:bicycle,oneway:foot,operator,ramp,ramp:bicycle,ramp:stroller,segregated,sidewalk,ski,smoothness,snowmobile,source,step_count,stroller,surface,tactile_paving,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,tunnel,wheelchair,width,wikidata,wikipedia,geometry
21314,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9919864 40.72638, -73.9935948 40.7271806, -73.9939841 40.7266591)"
7354,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9951424 40.7272271, -73.9946768 40.7270014, -73.9941813 40.7267611, -73.9938113 40.7272823, -73.9942462 40.7275, -73.9947093 40.7277319, -73.9951424 40.7272271)"
8482,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9947093 40.7277319, -73.9942462 40.7275, -73.9938113 40.7272823, -73.9941813 40.7267611, -73.9946768 40.7270014, -73.9951424 40.7272271, -73.9947093 40.7277319))"
7356,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9946076 40.7278598, -73.9941387 40.7276298, -73.9936857 40.7274076, -73.9933055 40.7278754, -73.9942097 40.7283241, -73.9946076 40.7278598)"
8484,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9942097 40.7283241, -73.9933055 40.7278754, -73.9936857 40.7274076, -73.9941387 40.7276298, -73.9946076 40.7278598, -73.9942097 40.7283241))"
7355,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.994827 40.727893, -73.9954769 40.7282234, -73.995044 40.7287284, -73.9943763 40.7284081, -73.994827 40.727893)"
8483,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.995044 40.7287284, -73.9943763 40.7284081, -73.994827 40.727893, -73.9954769 40.7282234, -73.995044 40.7287284))"
20475,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,-1,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9884641 40.7272977, -73.9888259 40.726797)"
20472,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9890616 40.7268956, -73.9887145 40.7274035)"
7382,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.990699 40.7282327, -73.9910561 40.7277422, -73.9890616 40.7268956)"
15400,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9887145 40.7274035, -73.990699 40.7282327)"
7383,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9894978 40.7284914, -73.9897898 40.7286139, -73.9901477 40.7281545, -73.9886328 40.7275145)"
20473,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9882829 40.7279815, -73.9894978 40.7284914)"
21352,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9902508 40.7282004, -73.9899131 40.7286689, -73.9902623 40.7288164)"
7380,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9901735 40.7289333, -73.9881999 40.7280947)"
20476,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.98784 40.7286019, -73.9898194 40.7294347)"
7390,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9877611 40.7287087, -73.9897108 40.7295308, -73.9897165 40.7295653)"
21313,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.993079 40.7277722, -73.9917239 40.7270941, -73.9919209 40.7265412)"
7371,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9916626 40.7272171, -73.9922106 40.7274892, -73.9923504 40.7275587, -73.9929835 40.7278731)"
1218,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,3rd Avenue,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9909712 40.7283376, -73.9913286 40.7278648, -73.9913614 40.7278215, -73.9914142 40.7277444, -73.9914938 40.7276282, -73.9915009 40.7276178, -73.9915317 40.7275728, -73.9916626 40.7272171)"
7381,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9902623 40.7288164, -73.9906079 40.7283519, -73.9902508 40.7282004)"
1222,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9929835 40.7278731, -73.9913936 40.7297423, -73.9913743 40.729765, -73.9913309 40.7297934, -73.991092 40.7299466, -73.9910675 40.7299733)"
1207,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9900747 40.7295744, -73.99009 40.729553, -73.990446 40.7290523, -73.9904821 40.7290016, -73.9905305 40.7289335, -73.9908567 40.7284749)"
1219,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9906731 40.7297665, -73.9906752 40.7297415, -73.9908514 40.7291667, -73.9910064 40.7286054, -73.99099 40.7285501, -73.9909244 40.7285027, -73.9908567 40.7284749, -73.9908354 40.7284661)"
1208,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9912244 40.7286131, -73.9910278 40.7292518, -73.9909042 40.729653, -73.9908816 40.7297265, -73.9908501 40.7298289, -73.9908393 40.729864)"
1205,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9907088 40.7297523, -73.9906752 40.7297415, -73.99009 40.729553, -73.9900684 40.729546)"
21356,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,Astor Place,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-73.9914102 40.7297698, -73.9913743 40.729765)"
7372,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9916695 40.7298066, -73.9926993 40.7285915, -73.9932248 40.7279715, -73.9941191 40.728421, -73.9937076 40.7289127, -73.9936092 40.7290303)"
7373,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9942945 40.7285179, -73.9938898 40.7289968, -73.99455 40.729323, -73.9949465 40.728835, -73.9942945 40.7285179)"
8485,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.99455 40.729323, -73.9938898 40.7289968, -73.9942945 40.7285179, -73.9949465 40.728835, -73.99455 40.729323))"
8477,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9953024 40.7296956, -73.9946615 40.7293759, -73.9950681 40.7288907, -73.995728 40.7292012, -73.9953024 40.7296956))"
7330,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.995728 40.7292012, -73.9953024 40.7296956, -73.9946615 40.7293759, -73.9950681 40.7288907, -73.995728 40.7292012)"
7374,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9944468 40.7294421, -73.9937923 40.7291177, -73.9934058 40.729577)"
21357,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9936092 40.7290303, -73.9932259 40.7294869, -73.9931373 40.7295937, -73.9928143 40.7299801)"
21360,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9934058 40.729577, -73.9940539 40.7298994, -73.9944468 40.7294421)"
8480,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9948097 40.7302907, -73.9941575 40.7299456, -73.9945469 40.7294953, -73.9951967 40.7298178, -73.9948097 40.7302907))"
7343,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9951967 40.7298178, -73.9948097 40.7302907, -73.9941575 40.7299456, -73.9945469 40.7294953, -73.9951967 40.7298178)"
21353,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9898194 40.7294347, -73.9901735 40.7289333)"
175,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9897165 40.7295653, -73.9895377 40.729817, -73.9895291 40.7298291)"
1206,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9906356 40.7299309, -73.9903545 40.729814, -73.9899837 40.7297024, -73.9899561 40.7296897)"
254,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9895377 40.729817, -73.9889556 40.7298534)"
249,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9900105 40.7296647, -73.9899837 40.7297024, -73.9898775 40.7298444, -73.98983 40.729908, -73.9896563 40.7301403)"
255,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9894745 40.7299059, -73.9891085 40.7299352)"
250,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9894841 40.7298924, -73.9894745 40.7299059, -73.9893771 40.7300412)"
251,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9891085 40.7299352, -73.9893771 40.7300412)"
1209,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9896563 40.7301403, -73.9904348 40.7304687)"
8497,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9902711 40.7311744, -73.9892228 40.7307233, -73.9895786 40.7302558, -73.9900256 40.7304404, -73.9904148 40.7306011, -73.9902711 40.7311744))"
8307,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9908275 40.7298172, -73.9908501 40.7298289, -73.991092 40.7299466, -73.9911206 40.7299615)"
21358,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9928143 40.7299801, -73.9916695 40.7298066)"
1220,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9912836 40.7300461, -73.9914566 40.7299318)"
21354,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-73.9907912 40.7299999, -73.9907707 40.7299918)"
1221,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9907912 40.7299999, -73.9909907 40.7300777, -73.9910011 40.7300824)"
7377,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9914566 40.7299318, -73.9923833 40.7300818, -73.9926646 40.7301586)"
21355,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-73.9909912 40.7300563, -73.9909907 40.7300777)"
1210,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9906356 40.7299309, -73.9904348 40.7304687)"
1223,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9907912 40.7299999, -73.9905845 40.7305196)"
7376,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9926646 40.7301586, -73.9923534 40.7305086, -73.9912836 40.7300461)"
21359,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.993314 40.7296822, -73.9939664 40.7300119, -73.9932369 40.7308647)"
7375,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9932369 40.7308647, -73.9925614 40.7305923, -73.9928806 40.7302068, -73.9930034 40.7300585, -73.993314 40.7296822)"
7378,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.993353 40.730916, -73.99407 40.7300582, -73.9947299 40.7303843, -73.9940204 40.7312056, -73.993353 40.730916)"
8486,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-73.9940204 40.7312056, -73.993353 40.730916, -73.99407 40.7300582, -73.9947299 40.7303843, -73.9940204 40.7312056))"
7323,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9954332 40.730733, -73.9947491 40.7315172, -73.9941356 40.7312531, -73.9948243 40.7304319, -73.9954332 40.730733)"
8473,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9947491 40.7315172, -73.9941356 40.7312531, -73.9948243 40.7304319, -73.9954332 40.730733, -73.9947491 40.7315172))"
7327,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9942565 40.7320785, -73.9946434 40.7316095, -73.9940555 40.7313607, -73.9939356 40.7313099, -73.9932716 40.7310289, -73.9931465 40.730976, -73.9924687 40.7306891, -73.9920641 40.7311615, -73.9931942 40.7316286, -73.9935202 40.7317667, -73.9942565 40.7320785)"
8476,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9942565 40.7320785, -73.9935202 40.7317667, -73.9931942 40.7316286, -73.9920641 40.7311615, -73.9924687 40.7306891, -73.9931465 40.730976, -73.9932716 40.7310289, -73.9939356 40.7313099, -73.9940555 40.7313607, -73.9946434 40.7316095, -73.9942565 40.7320785))"
7458,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9919735 40.7312701, -73.9941651 40.7321932, -73.9937613 40.7326418, -73.9916044 40.731716, -73.9919735 40.7312701)"
8499,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9937613 40.7326418, -73.9916044 40.731716, -73.9919735 40.7312701, -73.9941651 40.7321932, -73.9937613 40.7326418))"
7379,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9922623 40.7306051, -73.9911447 40.7301253)"
3475,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9907754 40.7306173, -73.9907852 40.7306042, -73.9911447 40.7301253)"
3476,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.990551 40.730508, -73.9905845 40.7305196, -73.9906293 40.7305351)"
8324,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9918737 40.7310785, -73.9922623 40.7306051)"
7457,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9907754 40.7306173, -73.9918737 40.7310785)"
7456,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9905576 40.7312892, -73.9906819 40.7307204, -73.9917695 40.7311862, -73.9913898 40.7316402, -73.9911362 40.7315333, -73.9907903 40.7313874, -73.9905576 40.7312892)"
8498,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9913898 40.7316402, -73.9911362 40.7315333, -73.9907903 40.7313874, -73.9905576 40.7312892, -73.9906819 40.7307204, -73.9917695 40.7311862, -73.9913898 40.7316402))"
7459,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9905197 40.7314165, -73.9913364 40.7317528, -73.9912454 40.7321549, -73.9911993 40.7323589, -73.9911713 40.7324827, -73.9910286 40.7331135, -73.9905011 40.7328846, -73.9901876 40.7327485, -73.990359 40.732061, -73.9903936 40.7319222, -73.9905197 40.7314165)"
8500,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9912454 40.7321549, -73.9911993 40.7323589, -73.9911713 40.7324827, -73.9910286 40.7331135, -73.9905011 40.7328846, -73.9901876 40.7327485, -73.990359 40.732061, -73.9903936 40.7319222, -73.9905197 40.7314165, -73.9913364 40.7317528, -73.9912454 40.7321549))"
8505,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-73.9932814 40.7332234, -73.9914072 40.7324384, -73.9915356 40.731846, -73.9936831 40.7327564, -73.9932814 40.7332234))"
22855,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9823789 40.72784, -73.9827222 40.7273747, -73.982765 40.7273821, -73.9847 40.7281904)"
7433,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9843512 40.7286781, -73.9823789 40.72784)"
22857,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9819223 40.7284424, -73.9822904 40.72796, -73.9842758 40.7287807)"
22858,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9847 40.7281904, -73.9843512 40.7286781)"
21361,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9849687 40.7283033, -73.9846192 40.7287914)"
7432,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9842758 40.7287807, -73.9839141 40.7292751, -73.9819223 40.7284424)"
22856,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9845438 40.7288939, -73.9841838 40.7293879)"
7451,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.985825 40.7309113, -73.9837256 40.7300205)"
9396,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9857463 40.7310167, -73.9836411 40.7301331)"
7450,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9836411 40.7301331, -73.9832478 40.73066, -73.9853513 40.7315505)"
9395,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9827823 40.7313223, -73.9831692 40.7307748, -73.9846654 40.7314042, -73.9852843 40.7316645)"
302,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9827531 40.7313105, -73.9827823 40.7313223, -73.9827601 40.7313519)"
7449,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9848866 40.7322078, -73.9827823 40.7313223)"
20496,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9826471 40.7315018, -73.9847567 40.7323813)"
9063,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9821707 40.7321623, -73.9835391 40.732738)"
7522,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9843624 40.7329318, -73.9837548 40.7326746, -73.9836285 40.7326215, -73.9822564 40.7320441)"
20500,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9847567 40.7323813, -73.9843624 40.7329318)"
20499,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9846015 40.73303, -73.9850038 40.7324875)"
290,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9836639 40.732793, -73.9839577 40.7329138, -73.9839768 40.7329217, -73.9842792 40.7330482)"
9047,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9835391 40.732738, -73.9831679 40.7332627)"
