,access,bicycle,bridge,bridge:movable,bridge:name,bridge:wikidata,bridge:wikipedia,button_operated,check_date:surface,condition,construction,covered,crossing,crossing:island,crossing:markings,cutting,cycleway,description,foot,foot:conditional,footway,handrail,handrail:left,handrail:right,highway,horse,incline,inline_skates,kerb,lanes,layer,lcn,level,lit,motor_vehicle,name,name:pronunciation,name:ru,note,oneway,oneway:bicycle,oneway:foot,operator,ramp,ramp:bicycle,ramp:stroller,segregated,sidewalk,ski,smoothness,snowmobile,source,step_count,stroller,surface,tactile_paving,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,tunnel,wheelchair,width,wikidata,wikipedia,geometry
20986,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0039401 40.7073852, -74.0039503 40.7073761)"
20984,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0039401 40.7073852, -74.0039512 40.707409)"
20998,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,yes,,,,,,,,,,,"LINESTRING (-74.0039512 40.707409, -74.0039594 40.7074321)"
21005,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0028434 40.7072222, -74.0028562 40.7072377, -74.003145 40.7075941, -74.0031501 40.7076002, -74.0031723 40.707641)"
20987,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0039401 40.7073852, -74.0039281 40.7073653, -74.0039152 40.70735, -74.0039016 40.7073385, -74.003895 40.7073325, -74.0038852 40.7073298, -74.003873 40.7073305, -74.0038016 40.7073691, -74.0036077 40.7074738, -74.0035364 40.707513, -74.0034493 40.7075609, -74.0034348 40.7075691)"
1019,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0035941 40.7077451, -74.0036054 40.7077335, -74.0037759 40.7075571, -74.0038146 40.7075149, -74.0038405 40.7074847, -74.0038941 40.70743, -74.0039401 40.7073852)"
21045,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.003134 40.7075987, -74.003145 40.7075941)"
21004,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0031723 40.707641, -74.0031958 40.7076849)"
21046,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.003018 40.7076777, -74.0030071 40.7076645, -74.0030289 40.7076523)"
20971,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0017059 40.7076788, -74.001733 40.7076647, -74.0017471 40.7076819)"
20990,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0031958 40.7076849, -74.0032069 40.7076967)"
20989,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0032069 40.7076967, -74.0031896 40.7077098)"
6806,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0020783 40.7081353, -74.0017917 40.7077747, -74.0027154 40.7073066, -74.0030071 40.7076645, -74.0020783 40.7081353)"
7023,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-74.0020783 40.7081353, -74.0017917 40.7077747, -74.0027154 40.7073066, -74.0030071 40.7076645, -74.0020783 40.7081353))"
21048,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0030727 40.7077622, -74.0030631 40.7077481)"
